x,y,color
1.77075,0.228174,0
2.03495,0.608533,0
1.87152,1.02506,0
2.46872,4.68409,1
0.506452,3.9043,1
2.00403,0.234256,0
0.678229,4.29507,1
0.927765,4.62353,1
1.66412,1.20001,0
1.70829,1.04922,0
2.57027,0.212976,0
1.61643,1.69695,0
2.01996,1.70614,0
2.44945,1.14821,0
1.56131,3.90438,1
0.937164,1.96638,0
1.2028,4.63683,1
1.72723,0.761943,0
0.938922,4.73086,1
0.021262,4.27747,1
2.30701,1.64103,0
1.97822,1.1432,0
2.08483,-0.0922445,0
2.49272,1.6046,0
2.47359,0.729168,0
1.48522,2.02715,0
3.17634,0.862872,0
1.82125,0.849769,0
0.726185,4.00463,1
2.52494,1.6599,0
2.16879,1.07486,0
-0.063996,4.15652,1
2.27811,1.42042,0
1.59705,1.26055,0
1.54735,4.83383,1
0.662385,3.5617,1
2.09132,4.69577,1
1.95751,0.471291,0
1.52831,0.577281,0
1.57236,1.61987,0
1.71954,-0.474473,0
2.39654,0.869958,0
2.6033,0.298892,0
-0.13822,4.53335,1
1.38212,4.93812,1
1.10976,4.6304,1
1.33112,3.67254,1
2.96885,0.619416,0
1.54734,0.597178,0
0.941118,4.11326,1
1.34879,1.07053,0
3.41766,0.833552,0
1.2498,4.21781,1
3.06468,0.843551,0
2.07055,1.6714,0
1.25428,4.923,1
1.60957,1.45962,0
1.88152,0.52454,0
1.24259,4.50399,1
1.94594,-0.358168,0
0.60878,4.22147,1
1.69401,4.83155,1
0.466673,5.3586,1
0.899254,3.8873,1
2.69784,1.20688,0
2.77714,0.904657,0
0.49329,4.08786,1
0.421334,4.5015,1
2.2416,0.535242,0
0.701163,4.83823,1
0.365899,4.44074,1
1.34645,5.07298,1
1.50229,3.22526,1
0.66193,3.85455,1
0.82696,5.25212,1
0.27364,5.03442,1
2.08187,1.18877,0
1.10658,4.35071,1
2.44439,1.40025,0
2.2646,3.98323,1
1.59291,0.561856,0
2.06053,1.02532,0
2.10552,0.413755,0
1.02958,4.51675,1
1.21388,4.20999,1
1.03639,3.51884,1
1.45321,0.609788,0
2.90411,1.09369,0
1.19683,4.02944,1
-0.0428592,5.51673,1
0.668028,4.11776,1
2.27389,0.427635,0
1.08179,4.23582,1
2.11319,1.63212,0
0.7678,3.95503,1
1.05717,0.990121,0
0.649371,4.12365,1
0.469813,3.96923,1
2.77942,0.810067,0
1.30064,5.60375,1
1.44754,4.43219,1
2.44878,1.18667,0
0.993082,4.07823,1
1.17542,3.87025,1
-0.201416,4.15729,1
1.12422,4.45501,1
0.779033,4.70217,1
2.13538,0.631634,0
1.74805,0.352619,0
1.37059,3.84413,1
2.34049,0.282819,0
1.06197,4.61476,1
2.60202,0.516716,0
-0.00400753,4.84149,1
1.13829,5.07327,1
2.25834,1.29269,0
0.632136,4.09115,1
1.38406,1.27275,0
1.77163,0.509365,0
1.98318,4.68058,1
0.810816,4.0772,1
1.55752,3.86557,1
1.73969,-0.102248,0
1.69214,2.07171,0
1.75396,4.67366,1
0.37854,4.02779,1
2.59678,1.10714,0
-0.17819,4.26205,1
0.0442047,3.94643,1
2.34657,1.07953,0
1.7088,0.748831,0
-0.0461797,3.91022,1
1.27447,1.19397,0
1.52879,4.49502,1
1.58041,0.633325,0
0.890643,4.73862,1
1.90934,4.67178,1
1.73058,0.703264,0
2.92661,0.30966,0
2.01075,0.896915,0
3.45621,0.625359,0
1.3751,5.37337,1
2.40763,0.597756,0
1.52899,3.6762,1
0.46121,3.92793,1
0.376141,3.37692,1
1.64156,4.40335,1
2.06184,0.898296,0
0.506035,4.77521,1
0.903817,5.18985,1
1.4486,2.3454,0
2.59405,1.49787,0
2.62143,0.494648,0
0.78236,-0.156005,0
1.74673,2.06551,0
2.60272,0.59117,0
1.41673,0.55462,0
1.60138,0.126447,0
0.692611,4.84822,1
2.06834,4.14578,1
2.07767,0.902334,0
1.4526,3.88426,1
2.63917,0.195661,0
2.19625,1.32278,0
4.25038,-0.110275,0
2.68214,1.70934,0
1.36543,0.743063,0
1.09969,4.50954,1
0.565864,5.29952,1
1.65547,3.9672,1
0.97192,4.18091,1
0.930967,4.79864,1
1.43347,1.23465,0
0.440143,3.63267,1
0.85349,3.24151,1
1.22882,4.45175,1
1.84318,1.8418,0
1.04457,-0.248408,0
2.3999,0.873288,0
2.59404,0.411504,0
